,symbol,id
225,شفارا,16673205196919832
226,ثالوند,16693610252404739
227,هم وزن2,16888365520630451
228,شاملا,16959429956899455
229,غبهنوش,17059960254855208
230,سپر,17226661368470120
231,آواپارس,17232252152159494
232,وآتوس,17269972595370241
233,واحیا,17284166795866794
234,خمهر,17330546482145553
235,وتوسم,17528249960294496
236,آ س پ,17617474823279712
237,ثاخت,17800036702302776
238,اهرم,17914401175772326
239,آینده,17933573078185644
240,ثغرب,17939384202383793
241,فمراد,18004480270695404
242,آوا,18007109712724189
243,کچاد,18027801615184692
244,وبهمن,18063426072758458
245,دتولید,18093681647131179
246,دفرا,18303237082155264
247,شصفها,18346219759153870
248,غپینو,18401147983387689
249,ثامید,18568733593280948
250,امید,18599703143458101
251,کیان4,18623561935932625
252,پتروآبان,18757639286384873
253,خاتم,18865325633315847
254,ثرود,18883380772506226
255,ویسرو,18919451747622263
256,نوری,19040514831923530
257,طلوع,19060410060488876
258,ومپنا,19074684560939209
259,خکمک,19257295292088310
260,مثقال2,19275594209412785
261,تایرا,19298748452450329
262,خبازرس,19310456400689867
263,وهامون,19348717261145458
264,کفپارس,19471788163911687
265,آلا,19828734979381742
266,وزمین,19954896371640204
267,دکیمی,20024911381434086
268,کنور,20411759370751096
269,بنیرو,20453828618330936
270,غشهد,20487994977117557
271,کسرام,20560887114747719
272,نیان,20652241232631918
273,فاراک,20865316761157979
274,ثتران,20926459161497908
275,فسدید,20966291817819448
276,درین,21077182490095731
277,سغدیر,21096748051392414
278,غنیلی,21426277483799140
279,حآفرین,21432551703060846
280,غمارگ,21501758781665781
281,شغدیر,21772258644715569
282,رماس,22002589755112021
283,بموتو,22086876724551482
284,وپست,22087269603540841
285,درازک,22255783119783047
286,استقلال,22259718159702272
287,حتوکا,22260326095996531
288,کوثر,22275596386264204
289,تفارس,22276798221643766
290,غگل,22299894048845903
291,تپولا,22308305646551497
292,سامان,22312990497291517
293,بکام,22382156782768756
294,فافق,22424135367941584
295,تمحرکه,22427604495160869
296,وآوا,22490169030401337
297,تاپیکو,22560050433388046
298,خیمن,22645269567765904
299,شبهرن,22667016906590506
300,کروی,22787503301679573
301,اخابر,22811176775480091
302,آتیمس,22839330962768817
303,ختراک,22903901709044823
304,هجرت2,22907092369644997
305,کپرور,22941065011246116
306,نتوس,22950683624908253
307,خودکفا,22956708386610464
308,ولغدر,23086515493897579
309,وسالت,23175320865252772
310,پکرمان,23214828924506640
311,جوین,23269285154135003
312,تاصیکو,23293437377896568
313,دکوثر,23353689102956991
314,کتوسعه,23374429962331387
315,پارسان,23441366113375722
316,اونیکس,23498719713662118
317,فصبا,23557166059925779
318,قچار,23600798892801694
319,ثروت ساز,23609214278467198
320,کفرا,23837844039713715
321,بایکا,23891830829322971
322,چافست,23936607891892333
323,پدرخش,24079409192818584
324,کترام,24085906177899789
325,پاداش2,24198960406596014
326,وآرین,24212636157410845
327,معین,24253947487334809
328,چکاوه,24254843881948059
329,غالبر,24303422207378456
330,جواهر2,24634634008171593
331,تاراز,24651394045981418
332,وسنا,24662567615903665
333,شگستر,24696953498398744
334,رونق,24744049494761785
335,وپویا,24785665268004766
336,دارا2,24854455175613815
337,استیل,24907784641855842
338,کساوه,25001509088465005
339,مرقام,25020657188512139
340,خبرنا,25079426576214829
341,فردا4,25127501722065703
342,زدشت,25180702353416009
343,خپارس,25211433301660888
344,وهور,25215182208950217
345,فارس,25244329144808274
346,فلامی,25286509736208688
347,ونیکی,25336820825905643
348,تنوین,25357135030606405
349,ساروج,25417476013479486
350,وساخت,25514780181345713
